 --------------------------- ------------------------------------------------------------------------------------ --------- --------------- 
  Package                     Name                                                                                 Status    Version        
  Security                    Password Characters of Type Policy (password_policy_characters)                      Enabled   4.0.0          
  Security                    Password Consecutive Characters Policy (password_policy_consecutive)                 Enabled   4.0.0          
  Security                    Password Character Length Policy (password_policy_length)                            Enabled   4.0.0          
  Other                       Pathauto (pathauto)                                                                  Enabled   8.x-1.11       
  Spam control                reCAPTCHA (recaptcha)                                                                Enabled   8.x-3.2        
  Other                       Redirect (redirect)                                                                  Enabled   8.x-1.9        
  Other                       Save & Edit (save_edit)                                                              Enabled   8.x-1.7        
  SEO                         Simple XML Sitemap (Views) (simple_sitemap_views)                                    Enabled   4.1.6          
  SEO                         Simple XML Sitemap (simple_sitemap)                                                  Enabled   4.1.6          
  Social                      Social API (social_api)                                                              Enabled   4.0.1          
  Social                      Social Auth (social_auth)                                                            Enabled   4.1.0          
  Social                      Social Auth Facebook (social_auth_facebook)                                          Enabled   4.0.3          
  Media                       SVG image (svg_image)                                                                Enabled   3.0.1          
  Mail                        Drupal Symfony Mailer Lite (symfony_mailer_lite)                                     Enabled   1.0.6          
  Other                       Telephone Validation (telephone_validation)                                          Enabled   8.x-2.4        
  Other                       Token (token)                                                                        Enabled   8.x-1.12       
  Other                       Twig Tweak (twig_tweak)                                                              Enabled   3.2.1          
  User                        Users Export (users_export)                                                          Enabled   3.0.0          
  Views                       Views Data Export (views_data_export)                                                Enabled   8.x-1.4        
  Webform                     Webform UI (webform_ui)                                                              Enabled   6.2.0-beta7    
  Webform                     Webform (webform)                                                                    Enabled   6.2.0-beta7    
  Custom                      Cdi Dependent Select (cdi_dependent_select)                                          Enabled                  
  Custom                      CDI: Generate index ckeditor5 (cdi_generate_index_ckeditor5)                         Enabled                  
  Custom                      Likinormas Base (likinormas_base)                                                    Enabled                  
  Custom                      Likinormas default content (likinormas_default_content)                              Enabled                  
  Likinormas PDF Conversion   Likinormas PDF using mPDF (likinormas_pdf_using_mpdf)                                Enabled                  
  Custom                      update content (update_content)                                                      Enabled                  
  Core                        Claro (claro)                                                                        Enabled   10.0.11        
  Core                        Olivero (olivero)                                                                    Enabled   10.0.11        
  Core                        Stable 9 (stable9)                                                                   Enabled   10.0.11        
                              Bootstrap5 (bootstrap5)                                                              Enabled   3.0.10         
                              Gin (gin)                                                                            Enabled   8.x-3.0-rc6    
                              Likinormas (likinormas)                                                              Enabled                  
 --------------------------- ------------------------------------------------------------------------------------ --------- --------------- 
